index,lat,lon,depth
1.1090000e+03, 4.5201363e+01,-1.2397128e+02,-1.6446731e+00
1.1100000e+03, 4.5201358e+01,-1.2397130e+02,-1.6114673e+00
1.1110000e+03, 4.5201352e+01,-1.2397133e+02,-1.5630337e+00
1.1120000e+03, 4.5201346e+01,-1.2397135e+02,-1.5326326e+00
1.1130000e+03, 4.5201341e+01,-1.2397138e+02,-1.4931713e+00
1.1140000e+03, 4.5201335e+01,-1.2397140e+02,-1.4717854e+00
1.1150000e+03, 4.5201329e+01,-1.2397142e+02,-1.4556937e+00
1.1160000e+03, 4.5201324e+01,-1.2397145e+02,-1.4436340e+00
1.1170000e+03, 4.5201318e+01,-1.2397147e+02,-1.4447806e+00
1.1180000e+03, 4.5201313e+01,-1.2397150e+02,-1.4573055e+00
1.1190000e+03, 4.5201307e+01,-1.2397152e+02,-1.4660898e+00
1.1200000e+03, 4.5201301e+01,-1.2397155e+02,-1.4792747e+00
1.1210000e+03, 4.5201296e+01,-1.2397157e+02,-1.4881107e+00
1.1220000e+03, 4.5201290e+01,-1.2397160e+02,-1.5014147e+00
1.1230000e+03, 4.5201285e+01,-1.2397162e+02,-1.5104205e+00
1.1240000e+03, 4.5201279e+01,-1.2397165e+02,-1.5240154e+00
1.1250000e+03, 4.5201273e+01,-1.2397167e+02,-1.5334019e+00
1.1260000e+03, 4.5201268e+01,-1.2397170e+02,-1.5473408e+00
1.1270000e+03, 4.5201262e+01,-1.2397172e+02,-1.5571487e+00
1.1280000e+03, 4.5201257e+01,-1.2397175e+02,-1.5716183e+00
1.1290000e+03, 4.5201251e+01,-1.2397177e+02,-1.5819321e+00
1.1300000e+03, 4.5201245e+01,-1.2397180e+02,-1.5972455e+00
1.1310000e+03, 4.5201240e+01,-1.2397182e+02,-1.6079212e+00
1.1320000e+03, 4.5201234e+01,-1.2397184e+02,-1.6190814e+00
1.1330000e+03, 4.5201228e+01,-1.2397187e+02,-1.6355178e+00
1.1340000e+03, 4.5201223e+01,-1.2397189e+02,-1.6470339e+00
